觀光遊憩區別,門票收入,遊客人次,上年同月份遊客人次,增減數,成長率,備註
小人國企業股份有限公司,"5,337,819","17,290","43,941","-26,651",-60.65,門票
埔心牧場,"3,765,267","24,330","49,775","-25,445",-51.12,門票
小烏來風景特定區,0,"22,779","25,427",-2648,-10.41,電信數據人次推估
石門水庫,"1,938,002","229,841","237,802",-7961,-3.35,電信數據人次推估
慈湖,0,"137,582","121,616",15966,13.13,電信數據人次推估
角板山遊憩區,0,"142,989","125,186",17803,14.22,電信數據人次推估
虎頭山風景特定區,0,"265,816","240,556",25260,10.5,電信數據人次推估
竹圍漁港,0,"121,534","159,655",-38121,-23.88,電信數據人次推估
大溪老城區,0,"359,560","445,198",-85638,-19.24,電信數據人次推估
桃園市客家文化館,0,"30,390",27249,3141,11.53,人工估算
永安漁港,0,"72,382",111137,-38755,-34.87,電信數據人次推估
新屋綠色走廊,0,64014,-,--,--,電信數據人次推估
觀音蓮花園休閒農業區,0,101836,-,--,--,電信數據人次推估
